Model,Trial,CAN_ID,DLC,Data_Hex,History_Frames,LLM_Response,t_llm_ms
Gemini-2.5-Flash,1,0x6B0,5,E2 E3 6B 6C D1,2F 31 99 9A BF AE | DD DF 6D 6E 1C C2 69 | 6F 74 65 66 | 88 85 48 49 E9 94 | 23 25 70,"```json
{
  ""interpretation"":",4300.1
Gemini-2.5-Flash,2,0x300,7,CF CE 73 74 6E AB A0,D0 CE 93 94 | C2 C2 7F | D6 D2 D7 D8 DB A3 | CF CC 88 89 | D9 DB F0 F1 E0 EC,"```json
{
  ""interpretation"": ""Bytes",3485.4
Gemini-2.5-Flash,3,0x3E8,5,27 24 BB BC 4C,E0 E4 54 55 DD 62 F2 BE | 39 3A 1E | F2 F4 76 77 A4 C4 8D A4 | 9B 98 CD CE 5D C6 | 9C 9F 19 1A 82 BA 4F 63,"```json
{
  ""interpretation"": ""Bytes",3076.8
Gemini-2.5-Flash,4,0x500,7,85 81 2E 2F 7E 8D 0C,F1 EE C6 C7 | 81 7C 55 56 31 | BB B8 AD AE E6 | C7 C4 33 34 B5 | 00 00 5D 5E 91 64,"```json
{
  ""interpretation"": ""Bytes ",2871.1
Gemini-2.5-Flash,5,0x280,4,18 1B DF E0,12 10 7C 7D 1C | D0 CF D6 D7 C8 F7 43 E9 | FF 03 B2 B3 | 08 0D AE | F3 F7 E3 E4 29 79 71 D3,"```json
{
  ""interpretation"": ""Bytes ",2462.1
GPT-4o,1,0x6B0,6,46 47 64 65 72 03,0A 0A A1 A2 | 02 FF AC | A1 A6 05 06 63 8B F8 | CB CB D8 D9 A5 54 5A 03 | E0 E0 A9,HTTP401,1843.0
GPT-4o,2,0x158,6,5F 5A 87 88 2B 34,FC FC 07 08 | 1C 1A FC FD 17 23 9A 6D | 97 93 34 35 | CE C9 CC CD 0E 54 | FB F6 76 77,HTTP401,1641.5
GPT-4o,3,0x7DF,7,D7 D5 B6 B7 2B F7 EB,41 3F FB FC AD 7E FC 71 | 2A 2C 8E 8F CF C0 E9 F3 | 15 12 57 58 | 56 59 10 11 | 92 8D A1 A2 6A,HTTP401,1229.4
GPT-4o,4,0x100,4,B4 B1 51 52,DF E2 13 14 | 56 51 23 24 63 F0 F8 0A | 96 92 4D 4E DD C3 | AD A9 97 | D9 D9 5D,HTTP401,1440.9
GPT-4o,5,0x500,5,A1 A1 4B 4C DF,C7 C5 A8 A9 03 EB | C2 C1 A6 A7 91 BB | A5 A7 83 | 49 48 85 86 01 4C | FF 03 D2,HTTP401,1336.8
