Model,Trial,CAN_ID,t_det_us,t_tx_up_us,t_llm_us,t_comp_us,t_ota_us,t_total_us,t_total_ms
Gemini-2.5-Flash,27,0x6B0,404.9,4339.3,3851165.8,1495.4,93482.0,3950887.4,3950.89
Gemini-2.5-Flash,28,0x300,386.2,5927.6,3330963.5,2247.5,103019.4,3442544.2,3442.54
Gemini-2.5-Flash,29,0x7DF,178.1,4110.0,2473100.8,2106.3,71325.1,2550820.2,2550.82
Gemini-2.5-Flash,30,0x280,404.5,4614.1,3410848.3,2839.4,102429.3,3521135.6,3521.14
GPT-4o,1,0x500,396.0,4348.9,1305137.4,2747.7,81652.9,1394282.9,1394.28
GPT-4o,2,0x280,294.1,4178.5,1359812.7,1773.4,74598.0,1440656.7,1440.66
GPT-4o,3,0x158,398.7,4678.9,1463740.2,2242.2,80262.6,1551322.4,1551.32
GPT-4o,4,0x100,416.7,5008.3,1676480.7,2550.1,89761.7,1774217.5,1774.22
GPT-4o,5,0x7DF,273.5,5757.4,1100101.3,2008.7,75199.2,1183340.1,1183.34
GPT-4o,6,0x200,351.8,6025.0,1488579.3,1901.7,78298.4,1575156.1,1575.16
GPT-4o,7,0x280,314.5,3913.1,1602545.6,2451.6,80007.8,1689232.6,1689.23
GPT-4o,8,0x7DF,449.5,5134.6,1634473.5,1394.4,78447.9,1719900.0,1719.9
GPT-4o,9,0x100,383.8,6635.6,1418390.9,2085.2,99105.2,1526600.7,1526.6
GPT-4o,10,0x400,340.8,4063.6,1527869.7,2045.2,93762.5,1628081.8,1628.08
GPT-4o,11,0x3E8,221.2,4356.8,1273185.4,1401.1,100562.9,1379727.4,1379.73
GPT-4o,12,0x400,302.6,6196.4,1995018.5,1987.3,73952.3,2077457.2,2077.46
GPT-4o,13,0x3E8,249.3,5274.5,1258586.9,1953.9,113343.8,1379408.4,1379.41
GPT-4o,14,0x200,444.2,4940.7,1649858.1,2349.9,102322.9,1759915.8,1759.92
GPT-4o,15,0x400,380.7,6738.9,1797700.6,2151.8,101568.4,1908540.3,1908.54
GPT-4o,16,0x300,272.9,4812.8,1404989.5,1627.1,84644.2,1496346.5,1496.35
GPT-4o,17,0x7DF,304.3,4545.3,1496219.1,2059.5,84118.6,1587246.8,1587.25
GPT-4o,18,0x158,323.4,5279.8,1395750.5,2320.2,94906.1,1498580.0,1498.58
GPT-4o,19,0x300,309.4,6656.0,1611268.6,1995.0,77338.7,1697567.7,1697.57
GPT-4o,20,0x3E8,343.1,6431.4,1094168.2,3341.0,70028.5,1174312.1,1174.31
GPT-4o,21,0x3E8,225.3,4611.8,1670494.3,2415.7,59097.7,1736844.9,1736.84
GPT-4o,22,0x6B0,301.7,6673.2,1326847.9,1848.5,69740.5,1405411.8,1405.41
GPT-4o,23,0x3E8,314.5,4754.9,1583486.2,2041.8,94772.7,1685370.1,1685.37
GPT-4o,24,0x300,353.9,3287.4,1500907.3,2521.7,74708.4,1581778.8,1581.78
GPT-4o,25,0x280,465.0,6176.2,1542496.0,1751.0,64601.3,1615489.5,1615.49
GPT-4o,26,0x400,263.8,3403.9,1442473.9,2065.1,98211.1,1546417.8,1546.42
GPT-4o,27,0x400,296.2,3979.2,1282867.5,2135.2,95359.1,1384637.3,1384.64
GPT-4o,28,0x400,308.3,5288.4,1521907.0,1446.0,91369.1,1620318.6,1620.32
GPT-4o,29,0x280,381.5,6101.7,1323151.5,2853.9,105306.3,1437794.9,1437.79
GPT-4o,30,0x3E8,438.9,5613.6,1870767.3,1841.5,76759.4,1955420.7,1955.42
