Model,Trial,FrameType,CAN_ID,DLC,Data_Hex,Data_Dec
DeepSeek-V3,13,TRIGGER,0x500,3,92 78 8B,"[146, 120, 139]"
DeepSeek-V3,13,HISTORY_1,0x500,5,A3 29 46 4D 76,"[163, 41, 70, 77, 118]"
DeepSeek-V3,13,HISTORY_2,0x500,6,4E 6D 20 D4 D0 A9,"[78, 109, 32, 212, 208, 169]"
DeepSeek-V3,13,HISTORY_3,0x500,7,EE D4 1F 69 D7 C7 0A,"[238, 212, 31, 105, 215, 199, 10]"
DeepSeek-V3,13,HISTORY_4,0x500,7,C2 F4 03 B4 98 C7 D6,"[194, 244, 3, 180, 152, 199, 214]"
DeepSeek-V3,13,HISTORY_5,0x500,7,70 F9 70 8B DF F8 0E,"[112, 249, 112, 139, 223, 248, 14]"
DeepSeek-V3,14,TRIGGER,0x400,5,CF 54 EF 41 0D,"[207, 84, 239, 65, 13]"
DeepSeek-V3,14,HISTORY_1,0x400,6,0D 2A DB 45 EC 5D,"[13, 42, 219, 69, 236, 93]"
DeepSeek-V3,14,HISTORY_2,0x400,3,85 C2 A7,"[133, 194, 167]"
DeepSeek-V3,14,HISTORY_3,0x400,4,E8 A7 AC C2,"[232, 167, 172, 194]"
DeepSeek-V3,14,HISTORY_4,0x400,5,D7 81 29 F0 09,"[215, 129, 41, 240, 9]"
DeepSeek-V3,14,HISTORY_5,0x400,8,1A B3 72 23 14 0F 7E 66,"[26, 179, 114, 35, 20, 15, 126, 102]"
DeepSeek-V3,15,TRIGGER,0x100,7,4E 7A 40 F2 3A 6F EE,"[78, 122, 64, 242, 58, 111, 238]"
DeepSeek-V3,15,HISTORY_1,0x100,8,83 BC 55 3A 53 9F 37 0D,"[131, 188, 85, 58, 83, 159, 55, 13]"
DeepSeek-V3,15,HISTORY_2,0x100,5,C0 CB 65 26 7C,"[192, 203, 101, 38, 124]"
DeepSeek-V3,15,HISTORY_3,0x100,3,9A 3D 15,"[154, 61, 21]"
DeepSeek-V3,15,HISTORY_4,0x100,5,DB BD 23 AE 06,"[219, 189, 35, 174, 6]"
DeepSeek-V3,15,HISTORY_5,0x100,6,FA 36 DD B9 EB 4E,"[250, 54, 221, 185, 235, 78]"
DeepSeek-V3,16,TRIGGER,0x400,4,8A F7 EE DF,"[138, 247, 238, 223]"
DeepSeek-V3,16,HISTORY_1,0x400,8,89 A5 7D 2C 8E E6 7C ED,"[137, 165, 125, 44, 142, 230, 124, 237]"
DeepSeek-V3,16,HISTORY_2,0x400,7,C2 AC 0E FD A6 5D F9,"[194, 172, 14, 253, 166, 93, 249]"
DeepSeek-V3,16,HISTORY_3,0x400,4,B5 84 AE 8F,"[181, 132, 174, 143]"
DeepSeek-V3,16,HISTORY_4,0x400,7,8D 05 61 2B 7B D0 FA,"[141, 5, 97, 43, 123, 208, 250]"
DeepSeek-V3,16,HISTORY_5,0x400,7,7B F3 FB E5 08 2F 96,"[123, 243, 251, 229, 8, 47, 150]"
DeepSeek-V3,17,TRIGGER,0x280,6,7C 9C BC F2 B0 D9,"[124, 156, 188, 242, 176, 217]"
DeepSeek-V3,17,HISTORY_1,0x280,8,A9 B4 E8 8A 9C 80 76 3D,"[169, 180, 232, 138, 156, 128, 118, 61]"
DeepSeek-V3,17,HISTORY_2,0x280,8,62 A1 3D 5E 62 6E F7 8D,"[98, 161, 61, 94, 98, 110, 247, 141]"
DeepSeek-V3,17,HISTORY_3,0x280,8,90 33 63 97 74 B8 5B 9A,"[144, 51, 99, 151, 116, 184, 91, 154]"
DeepSeek-V3,17,HISTORY_4,0x280,3,40 8C 17,"[64, 140, 23]"
DeepSeek-V3,17,HISTORY_5,0x280,3,95 40 FB,"[149, 64, 251]"
DeepSeek-V3,18,TRIGGER,0x158,3,91 F0 F5,"[145, 240, 245]"
DeepSeek-V3,18,HISTORY_1,0x158,6,AE 5E 1A 81 F4 3A,"[174, 94, 26, 129, 244, 58]"
DeepSeek-V3,18,HISTORY_2,0x158,3,CD FB 25,"[205, 251, 37]"
DeepSeek-V3,18,HISTORY_3,0x158,7,1B 4D 4C 9B 2B 7F 3C,"[27, 77, 76, 155, 43, 127, 60]"
DeepSeek-V3,18,HISTORY_4,0x158,7,D5 73 C2 E6 E2 98 DB,"[213, 115, 194, 230, 226, 152, 219]"
DeepSeek-V3,18,HISTORY_5,0x158,5,1E 32 6A 6C 87,"[30, 50, 106, 108, 135]"
DeepSeek-V3,19,TRIGGER,0x158,4,7A 58 26 50,"[122, 88, 38, 80]"
DeepSeek-V3,19,HISTORY_1,0x158,3,D1 E6 F0,"[209, 230, 240]"
DeepSeek-V3,19,HISTORY_2,0x158,5,10 76 93 90 E8,"[16, 118, 147, 144, 232]"
DeepSeek-V3,19,HISTORY_3,0x158,3,77 87 65,"[119, 135, 101]"
DeepSeek-V3,19,HISTORY_4,0x158,6,3A 73 4C 88 48 24,"[58, 115, 76, 136, 72, 36]"
DeepSeek-V3,19,HISTORY_5,0x158,3,54 9D 93,"[84, 157, 147]"
DeepSeek-V3,20,TRIGGER,0x500,3,EF 9B CE,"[239, 155, 206]"
DeepSeek-V3,20,HISTORY_1,0x500,5,FC E0 29 14 DD,"[252, 224, 41, 20, 221]"
DeepSeek-V3,20,HISTORY_2,0x500,8,A5 80 0D 2E 75 0A 89 14,"[165, 128, 13, 46, 117, 10, 137, 20]"
DeepSeek-V3,20,HISTORY_3,0x500,4,F0 E2 8E 5C,"[240, 226, 142, 92]"
DeepSeek-V3,20,HISTORY_4,0x500,7,DF FB 2E F0 B2 D1 AA,"[223, 251, 46, 240, 178, 209, 170]"
DeepSeek-V3,20,HISTORY_5,0x500,5,35 52 A8 D2 FD,"[53, 82, 168, 210, 253]"
DeepSeek-V3,21,TRIGGER,0x300,8,CD 12 E8 2D A1 81 A5 3B,"[205, 18, 232, 45, 161, 129, 165, 59]"
DeepSeek-V3,21,HISTORY_1,0x300,6,00 EC D3 1B 60 B9,"[0, 236, 211, 27, 96, 185]"
DeepSeek-V3,21,HISTORY_2,0x300,7,FF E2 1A 68 88 43 93,"[255, 226, 26, 104, 136, 67, 147]"
DeepSeek-V3,21,HISTORY_3,0x300,6,F8 3E 0E 7A 51 9F,"[248, 62, 14, 122, 81, 159]"
DeepSeek-V3,21,HISTORY_4,0x300,7,07 D0 2F 73 3A EC 3C,"[7, 208, 47, 115, 58, 236, 60]"
DeepSeek-V3,21,HISTORY_5,0x300,8,4E FF 95 8B D4 F7 F1 7C,"[78, 255, 149, 139, 212, 247, 241, 124]"
DeepSeek-V3,22,TRIGGER,0x500,7,4A C4 61 45 23 8D D4,"[74, 196, 97, 69, 35, 141, 212]"
DeepSeek-V3,22,HISTORY_1,0x500,5,88 01 90 98 FA,"[136, 1, 144, 152, 250]"
DeepSeek-V3,22,HISTORY_2,0x500,4,E4 F7 B0 AA,"[228, 247, 176, 170]"
DeepSeek-V3,22,HISTORY_3,0x500,7,C1 E9 A4 60 7A C4 77,"[193, 233, 164, 96, 122, 196, 119]"
DeepSeek-V3,22,HISTORY_4,0x500,6,16 A2 F2 C3 C5 4D,"[22, 162, 242, 195, 197, 77]"
DeepSeek-V3,22,HISTORY_5,0x500,6,12 40 A9 33 E1 33,"[18, 64, 169, 51, 225, 51]"
DeepSeek-V3,23,TRIGGER,0x6B0,6,07 49 D1 4F 26 F0,"[7, 73, 209, 79, 38, 240]"
DeepSeek-V3,23,HISTORY_1,0x6B0,5,AD CB 29 A8 C2,"[173, 203, 41, 168, 194]"
DeepSeek-V3,23,HISTORY_2,0x6B0,5,F9 12 23 78 93,"[249, 18, 35, 120, 147]"
DeepSeek-V3,23,HISTORY_3,0x6B0,4,2E DE 32 33,"[46, 222, 50, 51]"
DeepSeek-V3,23,HISTORY_4,0x6B0,6,55 99 0E 17 A6 1C,"[85, 153, 14, 23, 166, 28]"
DeepSeek-V3,23,HISTORY_5,0x6B0,5,B7 BF DC 4A 7D,"[183, 191, 220, 74, 125]"
DeepSeek-V3,24,TRIGGER,0x6B0,6,5C 57 59 28 C3 7B,"[92, 87, 89, 40, 195, 123]"
DeepSeek-V3,24,HISTORY_1,0x6B0,6,49 76 EC 82 EB 82,"[73, 118, 236, 130, 235, 130]"
DeepSeek-V3,24,HISTORY_2,0x6B0,8,04 EE 93 50 25 E2 B0 99,"[4, 238, 147, 80, 37, 226, 176, 153]"
DeepSeek-V3,24,HISTORY_3,0x6B0,8,D9 80 E9 9A 65 C4 F7 36,"[217, 128, 233, 154, 101, 196, 247, 54]"
DeepSeek-V3,24,HISTORY_4,0x6B0,4,C3 B7 97 97,"[195, 183, 151, 151]"
DeepSeek-V3,24,HISTORY_5,0x6B0,3,CA 8C 04,"[202, 140, 4]"
DeepSeek-V3,25,TRIGGER,0x7DF,8,19 FE 92 75 B4 70 61 80,"[25, 254, 146, 117, 180, 112, 97, 128]"
DeepSeek-V3,25,HISTORY_1,0x7DF,8,46 31 14 9E E1 11 BA 43,"[70, 49, 20, 158, 225, 17, 186, 67]"
DeepSeek-V3,25,HISTORY_2,0x7DF,3,97 A7 D4,"[151, 167, 212]"
DeepSeek-V3,25,HISTORY_3,0x7DF,4,66 43 BB 8B,"[102, 67, 187, 139]"
DeepSeek-V3,25,HISTORY_4,0x7DF,4,83 F6 97 AD,"[131, 246, 151, 173]"
DeepSeek-V3,25,HISTORY_5,0x7DF,3,EF 26 48,"[239, 38, 72]"
DeepSeek-V3,26,TRIGGER,0x280,8,CB BB 2E CA 07 87 3F E8,"[203, 187, 46, 202, 7, 135, 63, 232]"
DeepSeek-V3,26,HISTORY_1,0x280,5,86 C3 BE 37 77,"[134, 195, 190, 55, 119]"
DeepSeek-V3,26,HISTORY_2,0x280,6,0C A7 71 20 ED 9A,"[12, 167, 113, 32, 237, 154]"
DeepSeek-V3,26,HISTORY_3,0x280,8,D1 3B 47 17 13 9B FC 3B,"[209, 59, 71, 23, 19, 155, 252, 59]"
DeepSeek-V3,26,HISTORY_4,0x280,3,78 45 C6,"[120, 69, 198]"
DeepSeek-V3,26,HISTORY_5,0x280,6,BD D6 4F D4 32 FA,"[189, 214, 79, 212, 50, 250]"
DeepSeek-V3,27,TRIGGER,0x7DF,6,8F 10 BD 6F E3 E3,"[143, 16, 189, 111, 227, 227]"
DeepSeek-V3,27,HISTORY_1,0x7DF,4,B9 32 BC B7,"[185, 50, 188, 183]"
DeepSeek-V3,27,HISTORY_2,0x7DF,3,CB 8D 61,"[203, 141, 97]"
DeepSeek-V3,27,HISTORY_3,0x7DF,3,E8 2E 6C,"[232, 46, 108]"
DeepSeek-V3,27,HISTORY_4,0x7DF,8,0A 19 AA 7C 40 69 23 6A,"[10, 25, 170, 124, 64, 105, 35, 106]"
DeepSeek-V3,27,HISTORY_5,0x7DF,7,6E 77 A8 4B 01 8D 4A,"[110, 119, 168, 75, 1, 141, 74]"
DeepSeek-V3,28,TRIGGER,0x200,7,80 59 38 0D 43 07 B7,"[128, 89, 56, 13, 67, 7, 183]"
DeepSeek-V3,28,HISTORY_1,0x200,4,A5 08 59 87,"[165, 8, 89, 135]"
DeepSeek-V3,28,HISTORY_2,0x200,3,40 D7 3A,"[64, 215, 58]"
DeepSeek-V3,28,HISTORY_3,0x200,8,20 F3 E5 B9 37 E7 71 16,"[32, 243, 229, 185, 55, 231, 113, 22]"
DeepSeek-V3,28,HISTORY_4,0x200,8,9A EA 0F 1F F5 CD DA 37,"[154, 234, 15, 31, 245, 205, 218, 55]"
DeepSeek-V3,28,HISTORY_5,0x200,6,E3 25 29 A4 4B 21,"[227, 37, 41, 164, 75, 33]"
DeepSeek-V3,29,TRIGGER,0x200,5,A6 C3 96 E8 DC,"[166, 195, 150, 232, 220]"
DeepSeek-V3,29,HISTORY_1,0x200,3,3A 6E DC,"[58, 110, 220]"
DeepSeek-V3,29,HISTORY_2,0x200,6,74 D3 AD E8 CC D4,"[116, 211, 173, 232, 204, 212]"
DeepSeek-V3,29,HISTORY_3,0x200,8,30 A0 DA A0 82 BF 4E F2,"[48, 160, 218, 160, 130, 191, 78, 242]"
DeepSeek-V3,29,HISTORY_4,0x200,3,2E 2B 2F,"[46, 43, 47]"
DeepSeek-V3,29,HISTORY_5,0x200,6,31 BE 42 1E A8 3E,"[49, 190, 66, 30, 168, 62]"
DeepSeek-V3,30,TRIGGER,0x400,5,D8 1A 93 9F B4,"[216, 26, 147, 159, 180]"
DeepSeek-V3,30,HISTORY_1,0x400,3,6C 4F F6,"[108, 79, 246]"
DeepSeek-V3,30,HISTORY_2,0x400,4,37 B3 BC 3A,"[55, 179, 188, 58]"
DeepSeek-V3,30,HISTORY_3,0x400,5,73 DB 0D 88 0E,"[115, 219, 13, 136, 14]"
DeepSeek-V3,30,HISTORY_4,0x400,4,8B 9E AD B3,"[139, 158, 173, 179]"
DeepSeek-V3,30,HISTORY_5,0x400,3,5C 49 CD,"[92, 73, 205]"
Claude-3.5-Sonnet,1,TRIGGER,0x158,4,0F 2E 6E C0,"[15, 46, 110, 192]"
Claude-3.5-Sonnet,1,HISTORY_1,0x158,6,E8 AE 50 BD 9F A6,"[232, 174, 80, 189, 159, 166]"
Claude-3.5-Sonnet,1,HISTORY_2,0x158,7,2B 1A 4F 50 19 29 8B,"[43, 26, 79, 80, 25, 41, 139]"
Claude-3.5-Sonnet,1,HISTORY_3,0x158,6,D9 F8 E2 D4 8B 6E,"[217, 248, 226, 212, 139, 110]"
Claude-3.5-Sonnet,1,HISTORY_4,0x158,7,3A B0 DC 38 91 F9 9D,"[58, 176, 220, 56, 145, 249, 157]"
Claude-3.5-Sonnet,1,HISTORY_5,0x158,3,70 CA 1C,"[112, 202, 28]"
Claude-3.5-Sonnet,2,TRIGGER,0x100,4,9A 6C 46 82,"[154, 108, 70, 130]"
Claude-3.5-Sonnet,2,HISTORY_1,0x100,5,A7 3D 03 FE DC,"[167, 61, 3, 254, 220]"
Claude-3.5-Sonnet,2,HISTORY_2,0x100,4,42 C2 75 B5,"[66, 194, 117, 181]"
Claude-3.5-Sonnet,2,HISTORY_3,0x100,3,CB 15 DF,"[203, 21, 223]"
Claude-3.5-Sonnet,2,HISTORY_4,0x100,3,EB 27 A0,"[235, 39, 160]"
Claude-3.5-Sonnet,2,HISTORY_5,0x100,7,DB CF D5 94 3A CF 0A,"[219, 207, 213, 148, 58, 207, 10]"
Claude-3.5-Sonnet,3,TRIGGER,0x3E8,4,EB B9 2D DF,"[235, 185, 45, 223]"
Claude-3.5-Sonnet,3,HISTORY_1,0x3E8,3,7C DF CD,"[124, 223, 205]"
Claude-3.5-Sonnet,3,HISTORY_2,0x3E8,7,28 CA 9E AD 71 AA 56,"[40, 202, 158, 173, 113, 170, 86]"
Claude-3.5-Sonnet,3,HISTORY_3,0x3E8,3,3A 63 B2,"[58, 99, 178]"
Claude-3.5-Sonnet,3,HISTORY_4,0x3E8,5,4B 78 34 4A 83,"[75, 120, 52, 74, 131]"
Claude-3.5-Sonnet,3,HISTORY_5,0x3E8,4,58 4E 26 5A,"[88, 78, 38, 90]"
Claude-3.5-Sonnet,4,TRIGGER,0x500,6,E5 A5 A1 4D E1 22,"[229, 165, 161, 77, 225, 34]"
Claude-3.5-Sonnet,4,HISTORY_1,0x500,6,E2 9B 8C 1C B4 25,"[226, 155, 140, 28, 180, 37]"
Claude-3.5-Sonnet,4,HISTORY_2,0x500,5,EC E7 13 1D BC,"[236, 231, 19, 29, 188]"
Claude-3.5-Sonnet,4,HISTORY_3,0x500,5,27 2E C4 EC 15,"[39, 46, 196, 236, 21]"
Claude-3.5-Sonnet,4,HISTORY_4,0x500,6,60 A4 F3 4D 1F E6,"[96, 164, 243, 77, 31, 230]"
Claude-3.5-Sonnet,4,HISTORY_5,0x500,3,AF 2B 58,"[175, 43, 88]"
Claude-3.5-Sonnet,5,TRIGGER,0x100,4,E0 E0 51 BA,"[224, 224, 81, 186]"
Claude-3.5-Sonnet,5,HISTORY_1,0x100,5,90 C6 D1 AD 1A,"[144, 198, 209, 173, 26]"
Claude-3.5-Sonnet,5,HISTORY_2,0x100,8,AB 21 A8 30 C5 91 81 4C,"[171, 33, 168, 48, 197, 145, 129, 76]"
Claude-3.5-Sonnet,5,HISTORY_3,0x100,5,29 48 B3 9E C8,"[41, 72, 179, 158, 200]"
Claude-3.5-Sonnet,5,HISTORY_4,0x100,4,2B 9E C0 A8,"[43, 158, 192, 168]"
Claude-3.5-Sonnet,5,HISTORY_5,0x100,4,2F D8 B9 09,"[47, 216, 185, 9]"
Claude-3.5-Sonnet,6,TRIGGER,0x3E8,5,5C 6D AE F8 62,"[92, 109, 174, 248, 98]"
Claude-3.5-Sonnet,6,HISTORY_1,0x3E8,4,46 4F 27 97,"[70, 79, 39, 151]"
Claude-3.5-Sonnet,6,HISTORY_2,0x3E8,3,13 AC 43,"[19, 172, 67]"
Claude-3.5-Sonnet,6,HISTORY_3,0x3E8,7,C0 4E 53 5C 54 E0 16,"[192, 78, 83, 92, 84, 224, 22]"
Claude-3.5-Sonnet,6,HISTORY_4,0x3E8,6,BA 79 E3 91 E5 77,"[186, 121, 227, 145, 229, 119]"
Claude-3.5-Sonnet,6,HISTORY_5,0x3E8,7,7A 9E F0 63 BC E1 EC,"[122, 158, 240, 99, 188, 225, 236]"
Claude-3.5-Sonnet,7,TRIGGER,0x300,6,D6 52 66 46 80 1A,"[214, 82, 102, 70, 128, 26]"
Claude-3.5-Sonnet,7,HISTORY_1,0x300,8,F6 BE 34 3F 91 2A 52 8B,"[246, 190, 52, 63, 145, 42, 82, 139]"
Claude-3.5-Sonnet,7,HISTORY_2,0x300,6,4B DF 2E 71 E6 B2,"[75, 223, 46, 113, 230, 178]"
Claude-3.5-Sonnet,7,HISTORY_3,0x300,3,D4 1B CA,"[212, 27, 202]"
Claude-3.5-Sonnet,7,HISTORY_4,0x300,7,BF 78 C5 29 BF 72 0E,"[191, 120, 197, 41, 191, 114, 14]"
Claude-3.5-Sonnet,7,HISTORY_5,0x300,5,32 AB 4A 46 13,"[50, 171, 74, 70, 19]"
Claude-3.5-Sonnet,8,TRIGGER,0x300,6,47 F0 E5 02 28 09,"[71, 240, 229, 2, 40, 9]"
Claude-3.5-Sonnet,8,HISTORY_1,0x300,5,6E 4C D8 38 93,"[110, 76, 216, 56, 147]"
Claude-3.5-Sonnet,8,HISTORY_2,0x300,4,9A 3E 18 7A,"[154, 62, 24, 122]"
Claude-3.5-Sonnet,8,HISTORY_3,0x300,6,EA 20 38 FF 08 7B,"[234, 32, 56, 255, 8, 123]"
Claude-3.5-Sonnet,8,HISTORY_4,0x300,8,49 95 DB 00 B4 7B D5 5F,"[73, 149, 219, 0, 180, 123, 213, 95]"
Claude-3.5-Sonnet,8,HISTORY_5,0x300,8,2B B8 22 0A C7 F0 16 C6,"[43, 184, 34, 10, 199, 240, 22, 198]"
Claude-3.5-Sonnet,9,TRIGGER,0x3E8,5,08 B6 22 B0 7B,"[8, 182, 34, 176, 123]"
Claude-3.5-Sonnet,9,HISTORY_1,0x3E8,8,35 AA 44 16 B4 AD 59 ED,"[53, 170, 68, 22, 180, 173, 89, 237]"
Claude-3.5-Sonnet,9,HISTORY_2,0x3E8,8,F5 5D 45 20 EA 12 96 67,"[245, 93, 69, 32, 234, 18, 150, 103]"
Claude-3.5-Sonnet,9,HISTORY_3,0x3E8,3,66 15 A1,"[102, 21, 161]"
