Model,Trial,CAN_ID,t_det_us,t_tx_up_us,t_llm_us,t_comp_us,t_ota_us,t_total_us,t_total_ms,Success
Claude-3.5-Sonnet,18,0x280,375.8,6588.2,1777515.8,1886.4,96772.3,1883138.5,1883.14,True
Claude-3.5-Sonnet,19,0x158,485.3,4950.4,1296812.4,2518.5,62884.2,1367650.9,1367.65,True
Claude-3.5-Sonnet,20,0x300,282.4,5071.6,1410068.9,2036.4,83453.0,1500912.3,1500.91,True
Claude-3.5-Sonnet,21,0x280,512.6,5037.4,1356133.0,2697.4,84406.8,1448787.2,1448.79,True
Claude-3.5-Sonnet,22,0x280,457.3,3387.5,912136.9,2212.7,110526.2,1028720.5,1028.72,True
Claude-3.5-Sonnet,23,0x6B0,412.8,4193.7,1757618.7,2330.3,64211.5,1828767.0,1828.77,True
Claude-3.5-Sonnet,24,0x100,312.0,4143.6,772937.9,2105.1,80451.5,859950.1,859.95,True
Claude-3.5-Sonnet,25,0x280,265.3,6182.8,836908.4,2902.5,84286.5,930545.5,930.55,True
Claude-3.5-Sonnet,26,0x3E8,307.1,6246.1,1184920.4,1909.1,106480.1,1299862.8,1299.86,True
Claude-3.5-Sonnet,27,0x280,387.3,5183.1,839470.2,1957.5,62362.9,909361.0,909.36,True
Claude-3.5-Sonnet,28,0x3E8,469.9,5773.2,1349784.6,2567.7,75952.3,1434547.7,1434.55,True
Claude-3.5-Sonnet,29,0x500,253.6,6195.3,1541102.3,2250.4,92482.0,1642283.7,1642.28,True
Claude-3.5-Sonnet,30,0x158,401.4,8169.0,949301.8,2021.4,92933.4,1052827.1,1052.83,True
GPT-4o,1,0x280,505.6,3929.1,1421137.5,1896.6,92574.4,1520043.3,1520.04,True
GPT-4o,2,0x7DF,295.9,6792.6,1370802.3,2262.3,87481.8,1467634.8,1467.63,True
GPT-4o,3,0x200,501.5,4369.0,921039.7,1735.4,84847.3,1012493.0,1012.49,True
GPT-4o,4,0x200,402.7,7199.7,1805789.8,2915.9,82920.6,1899228.7,1899.23,True
GPT-4o,5,0x158,197.4,4745.0,927074.7,2721.7,97405.1,1032143.9,1032.14,True
GPT-4o,6,0x400,349.4,5044.5,660452.0,2244.2,79964.6,748054.6,748.05,True
GPT-4o,7,0x3E8,359.5,5130.1,1608780.6,2333.1,55852.9,1672456.1,1672.46,True
GPT-4o,8,0x400,276.5,3762.3,1023196.3,1807.4,80346.2,1109388.7,1109.39,True
GPT-4o,9,0x300,253.7,5380.1,1768156.7,2207.0,71036.7,1847034.2,1847.03,True
GPT-4o,10,0x400,410.4,5139.4,2226779.0,1521.3,72143.4,2305993.5,2305.99,True
GPT-4o,11,0x300,380.6,3844.9,1069887.2,1875.4,54793.0,1130781.2,1130.78,True
GPT-4o,12,0x158,203.5,3446.2,1501910.1,1846.5,95021.4,1602427.7,1602.43,True
GPT-4o,13,0x200,289.5,6958.6,1810969.2,1951.0,109804.0,1929972.3,1929.97,True
GPT-4o,14,0x7DF,423.4,4189.5,1629591.4,1128.6,63749.0,1699081.9,1699.08,True
GPT-4o,15,0x3E8,314.7,3043.8,696959.9,1567.9,113213.1,815099.4,815.1,True
GPT-4o,16,0x158,419.4,2800.5,1268993.0,2122.1,81822.0,1356157.1,1356.16,True
GPT-4o,17,0x3E8,381.8,6666.3,1114779.0,2365.3,105493.4,1229685.9,1229.69,True
GPT-4o,18,0x400,327.4,6795.5,990167.7,2320.8,65618.8,1065230.3,1065.23,True
GPT-4o,19,0x6B0,341.7,5509.9,918142.0,2725.3,89995.7,1016714.4,1016.71,True
GPT-4o,20,0x500,374.3,4731.1,1645668.8,2260.2,80319.3,1733353.7,1733.35,True
GPT-4o,21,0x7DF,348.4,5700.3,784666.1,2538.4,80577.1,873830.3,873.83,True
GPT-4o,22,0x7DF,394.4,5759.3,1980809.2,2297.3,67325.3,2056585.5,2056.59,True
GPT-4o,23,0x6B0,178.9,2957.2,2238178.3,2408.9,71415.7,2315139.1,2315.14,True
GPT-4o,24,0x158,373.6,6683.4,1290655.6,2247.8,84666.3,1384626.8,1384.63,True
GPT-4o,25,0x200,379.4,5978.6,1310844.5,1708.5,104284.5,1423195.6,1423.2,True
GPT-4o,26,0x158,434.4,5700.4,900502.9,2366.8,93759.3,1002763.8,1002.76,True
GPT-4o,27,0x500,300.3,6952.6,1447456.5,2451.3,78207.7,1535368.3,1535.37,True
GPT-4o,28,0x100,457.3,6190.8,2589782.5,2014.5,79472.7,2677917.7,2677.92,True
GPT-4o,29,0x200,351.4,5355.3,1108742.6,1821.5,86692.7,1202963.5,1202.96,True
GPT-4o,30,0x400,359.6,6190.5,956345.6,1796.0,79856.9,1044548.6,1044.55,True
